"Takamull Trading Company
            Profit and Loss
            Basis: Accrual
                        From 01 Jan 2025 To 31 Dec 2025",,,,,,,,,,,,,,,,,,,,,,,,
,,,Cost Center - Takamull,,,,,,,,,,,,,,,,,,,,,
,,,8000010 - تسوية مراكز التكلفة تكامل,8000011 - المصاريف العمومية والادارية تكامل,8000020 - مصاريف بيعية وتسويقية تكامل,8000030 - تدريب وتطوير تكامل,8000040 - مكتب ادارة المشاريع تكامل,8000050 - الاتصال المؤسسي تكامل,8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,8025010 - مشروع العربة,8025020 - مشروع وزارة الرياضة,8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,8025040 - مصنع الابتكار - اشوكا,8025050 - حصر الاحتياج التدريبي في منظومة الصحة,8025060 - مجموعات عمل التطوع التكافلي,8025070 - سفر الإفطار في الحرم المكي,8025080 - سوق الدار,Untagged
Account ,Account Code ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,,,,,,,,,,,,,,,,,,,,,,,,
          Sales reveune - ايرادات المبيعات,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Govrenment Sales - المبيعات الحكومية,411,21411371.27,0,0,0,0,0,0,5934840,1070000,2111789.6,0,0,6558541.67,775000,0,0,0,0,0,4961200,0,0,0
                    Private Sector Sales - مبيعات القطاع الخاص,412,4006337.53,0,0,0,0,0,0,0,0,0,585000,0,0,775000,2160624.8,392100,0,93612.73,0,0,0,0,0
                    NPO sales (Third Sector) - مبيعات القطاع الثالث,413,3588878.26,0,0,0,0,0,0,0,0,0,585000,537725.7,0,0,0,2466152.56,0,0,0,0,0,0,0
          Total for Sales reveune - ايرادات المبيعات,41,29006587.06,0,0,0,0,0,0,5934840,1070000,2111789.6,1170000,537725.7,6558541.67,1550000,2160624.8,2858252.56,0,93612.73,0,4961200,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Total for Operating Income,,29006587.06,0,0,0,0,0,0,5934840,1070000,2111789.6,1170000,537725.7,6558541.67,1550000,2160624.8,2858252.56,0,93612.73,0,4961200,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,
          Project expenses - 5 - مصاريف المشاريع,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                    Operating Payroll and Related - 51 - الرواتب المباشرة وملحقاتها,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              Payroll and related - 510101 - الرواتب وما في حكمها,510101,1789041.09,1789041.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              GOSI - 510103 - التأمينات الاجتماعية,510103,93052.34,93052.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              Medical insurance - 510104 - تامين طبي,510104,64080.63,64080.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              End of service benefits - 510105 - مكافاة نهاية الخدمة,510105,58380.45,58380.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              Sponosrship transfer - 510201 - نقل كفالات,510201,15000,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,0,0
                              Iqama renewal - 510202 - تجديد اقامات,510202,2175.03,2175.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
                              Labor office fees - 510203 - رسوم مكتب العمل والمقابل المالي,510203,8800.04,8800.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
